plot,latitude,longitude,trap,year,monthPitfallStart,dayPitfallStart,monthPitfallEnd,dayPitfallEnd,isopodCount
051A,41.249685,70.13051167,6,2008,5,27,6,3,1
051A,41.249685,70.13051167,7,2008,5,27,6,3,13
054A,41.252525,70.13031167,1,2008,5,27,6,3,0
054A,41.252525,70.13031167,2,2008,5,27,6,3,0
054A,41.252525,70.13031167,3,2008,5,27,6,3,1
054A,41.252525,70.13031167,4,2008,5,27,6,3,1
054A,41.252525,70.13031167,5,2008,5,27,6,3,0
054A,41.252525,70.13031167,6,2008,5,27,6,3,1
054A,41.252525,70.13031167,7,2008,5,27,6,3,7
056A,41.24859,70.12814667,1,2008,5,27,6,3,384
056A,41.24859,70.12814667,2,2008,5,27,6,3,747
056A,41.24859,70.12814667,3,2008,5,27,6,3,274
056A,41.24859,70.12814667,4,2008,5,27,6,3,497
056A,41.24859,70.12814667,5,2008,5,27,6,3,546
056A,41.24859,70.12814667,6,2008,5,27,6,3,637
056A,41.24859,70.12814667,7,2008,5,27,6,3,410
063A,41.25008333,70.12737667,1,2008,5,27,6,3,405
063A,41.25008333,70.12737667,2,2008,5,27,6,3,161
063A,41.25008333,70.12737667,3,2008,5,27,6,3,468
063A,41.25008333,70.12737667,4,2008,5,27,6,3,384
063A,41.25008333,70.12737667,5,2008,5,27,6,3,492
063A,41.25008333,70.12737667,6,2008,5,27,6,3,238
063A,41.25008333,70.12737667,7,2008,5,27,6,3,229
065A,41.249895,70.12675667,1,2008,5,27,6,3,44
065A,41.249895,70.12675667,2,2008,5,27,6,3,95
065A,41.249895,70.12675667,3,2008,5,27,6,3,23
065A,41.249895,70.12675667,4,2008,5,27,6,3,68
065A,41.249895,70.12675667,5,2008,5,27,6,3,45
065A,41.249895,70.12675667,6,2008,5,27,6,3,205
065A,41.249895,70.12675667,7,2008,5,27,6,3,536
071A,41.24650333,70.12040667,1,2008,5,27,6,3,53
071A,41.24650333,70.12040667,2,2008,5,27,6,3,15
071A,41.24650333,70.12040667,3,2008,5,27,6,3,40
071A,41.24650333,70.12040667,4,2008,5,27,6,3,32
071A,41.24650333,70.12040667,5,2008,5,27,6,3,8
071A,41.24650333,70.12040667,6,2008,5,27,6,3,21
071A,41.24650333,70.12040667,7,2008,5,27,6,3,25
077A,41.24681167,70.12058667,1,2008,5,27,6,3,22
077A,41.24681167,70.12058667,2,2008,5,27,6,3,22
077A,41.24681167,70.12058667,3,2008,5,27,6,3,9
077A,41.24681167,70.12058667,4,2008,5,27,6,3,14
077A,41.24681167,70.12058667,5,2008,5,27,6,3,13
077A,41.24681167,70.12058667,6,2008,5,27,6,3,14
077A,41.24681167,70.12058667,7,2008,5,27,6,3,10
080A,41.24656333,70.119945,1,2008,5,27,6,3,16
080A,41.24656333,70.119945,2,2008,5,27,6,3,9
080A,41.24656333,70.119945,3,2008,5,27,6,3,5
080A,41.24656333,70.119945,4,2008,5,27,6,3,6
080A,41.24656333,70.119945,5,2008,5,27,6,3,7
080A,41.24656333,70.119945,6,2008,5,27,6,3,22
080A,41.24656333,70.119945,7,2008,5,27,6,3,32
084A,41.25646,70.11507833,1,2008,5,27,6,3,58
084A,41.25646,70.11507833,2,2008,5,27,6,3,95
084A,41.25646,70.11507833,3,2008,5,27,6,3,35
084A,41.25646,70.11507833,4,2008,5,27,6,3,54
084A,41.25646,70.11507833,5,2008,5,27,6,3,92
084A,41.25646,70.11507833,6,2008,5,27,6,3,13
084A,41.25646,70.11507833,7,2008,5,27,6,3,80
086A,41.2565,70.115555,1,2008,5,27,6,3,36
086A,41.2565,70.115555,2,2008,5,27,6,3,57
086A,41.2565,70.115555,3,2008,5,27,6,3,72
086A,41.2565,70.115555,4,2008,5,27,6,3,13
086A,41.2565,70.115555,5,2008,5,27,6,3,62
086A,41.2565,70.115555,6,2008,5,27,6,3,77
086A,41.2565,70.115555,7,2008,5,27,6,3,34
087A,41.25706167,70.113575,1,2008,5,27,6,3,4
087A,41.25706167,70.113575,2,2008,5,27,6,3,1
087A,41.25706167,70.113575,3,2008,5,27,6,3,0
087A,41.25706167,70.113575,4,2008,5,27,6,3,1
087A,41.25706167,70.113575,5,2008,5,27,6,3,0
087A,41.25706167,70.113575,6,2008,5,27,6,3,3
087A,41.25706167,70.113575,7,2008,5,27,6,3,33
090A,41.25167167,70.12843333,1,2008,5,27,6,3,213
090A,41.25167167,70.12843333,2,2008,5,27,6,3,201
090A,41.25167167,70.12843333,3,2008,5,27,6,3,227
090A,41.25167167,70.12843333,4,2008,5,27,6,3,419
090A,41.25167167,70.12843333,5,2008,5,27,6,3,351
090A,41.25167167,70.12843333,6,2008,5,27,6,3,195
090A,41.25167167,70.12843333,7,2008,5,27,6,3,262
091A,41.25400667,70.13412,1,2008,5,27,6,3,80
091A,41.25400667,70.13412,2,2008,5,27,6,3,29
091A,41.25400667,70.13412,3,2008,5,27,6,3,33
091A,41.25400667,70.13412,4,2008,5,27,6,3,61
091A,41.25400667,70.13412,5,2008,5,27,6,3,63
091A,41.25400667,70.13412,6,2008,5,27,6,3,139
091A,41.25400667,70.13412,7,2008,5,27,6,3,97
092A,41.25160833,70.13573,1,2008,5,27,6,3,68
092A,41.25160833,70.13573,2,2008,5,27,6,3,24
092A,41.25160833,70.13573,3,2008,5,27,6,3,23
092A,41.25160833,70.13573,4,2008,5,27,6,3,15
092A,41.25160833,70.13573,5,2008,5,27,6,3,14
092A,41.25160833,70.13573,6,2008,5,27,6,3,77
092A,41.25160833,70.13573,7,2008,5,27,6,3,64
093A,41.24996333,70.13712333,1,2008,5,27,6,3,177
093A,41.24996333,70.13712333,2,2008,5,27,6,3,92
093A,41.24996333,70.13712333,3,2008,5,27,6,3,139
093A,41.24996333,70.13712333,4,2008,5,27,6,3,88
093A,41.24996333,70.13712333,5,2008,5,27,6,3,129
093A,41.24996333,70.13712333,6,2008,5,27,6,3,35
093A,41.24996333,70.13712333,7,2008,5,27,6,3,127
